id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
25759221,Comfortable 3 Bed flat next to Sagrada Familia,193608810,Mercedes Amparo,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40226,2.16844,Entire home/apt,120,3,44,2022-03-01,0.99,1,49,11,HUTB-002427
25807840,"Nice single room in Barcelona, Sant Marti",63806538,Claudia,Sant Martí,la Verneda i la Pau,41.41795,2.20593,Private room,23,1,78,2022-03-02,1.72,1,141,32,Exempt
25807909,Habitación luminosa para parejas en Corts,31743190,Luis,Les Corts,les Corts,41.38635,2.13538,Private room,40,3,2,2018-08-02,0.04,1,0,0,Exempt
25809117,House in Gracia with garden,193939520,Ania,Gràcia,Vallcarca i els Penitents,41.41254,2.14561,Private room,350,4,0,,,1,365,0,Exempt
25809648,23 Cozy apartment Barcelona,58993125,Albert,Eixample,el Fort Pienc,41.40209,2.1818,Entire home/apt,70,32,3,2022-01-23,0.07,4,253,1,
26268920,Quiet and well connected apartment - For students,27156730,Neus,Nou Barris,les Roquetes,41.44532,2.17444,Entire home/apt,44,90,0,,,4,104,0,
26272979,habitacion en atico vistas Sagrada Familia,197503491,Marta,Eixample,la Dreta de l'Eixample,41.40075,2.17046,Private room,40,30,0,,,1,365,0,Exempt
26025302,Three Bed Room with private bathroom in Sagrada Familia,195335908,Carlos,Eixample,la Sagrada Família,41.40059,2.17547,Hotel room,116,1,59,2022-03-07,1.51,3,255,41,HB004464
26028659,BIG ROOM IN AWESOME LOCATION!!,148546410,Maria,Gràcia,la Vila de Gràcia,41.40055,2.1543,Private room,50,7,1,2018-08-14,0.02,2,0,0,Exempt
26030039,Double room Ramblas Barcelona ( 31 days minium ),160690738,Juan Jose,Ciutat Vella,el Raval,41.38294,2.16909,Private room,35,31,116,2022-02-04,2.59,4,130,1,Exempt
26030842,Double  Room  Ramblas Barcelona ( 31 days minium ),160690738,Juan Jose,Ciutat Vella,el Raval,41.38294,2.16909,Private room,30,31,109,2022-03-01,2.43,4,154,1,Exempt
26031648,Penthouse downtown nice views,195639597,Victoria Ana,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38897,2.17416,Private room,160,3,22,2020-07-22,0.50,1,17,0,Exempt
26043915,Apartment M.Claret,191141168,Isabel,Eixample,la Sagrada Família,41.41082,2.17384,Entire home/apt,146,3,60,2020-02-24,1.33,2,250,0,HUTB-002183
26058907,HABITACIÓN DOBLE PRIVADA CON TERRAZA,137718334,Leila,Nou Barris,Vilapicina i la Torre Llobeta,41.43044,2.16862,Private room,54,1,16,2018-09-17,0.35,1,0,0,Exempt
26059885,"double room, central, comfortable",195845463,David,Ciutat Vella,el Raval,41.37764,2.16706,Private room,24,2,98,2020-03-27,2.17,1,53,0,Exempt
26073262,SUITE NEXT TO CATALONIA PLACE,195951831,Marc David,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38883,2.17637,Private room,40,4,34,2022-03-08,0.78,1,41,6,Exempt
26073727,Bienvenido a la familia.....welcome to the family,44204205,Jose Y Pierre,Sant Andreu,la Trinitat Vella,41.44985,2.19146,Private room,40,3,27,2021-09-12,0.60,2,270,5,Exempt
26079747,Two bedrooms apartment with terrace,194635069,Valentina,Eixample,l'Antiga Esquerra de l'Eixample,41.38508,2.15713,Entire home/apt,58,180,0,,,10,69,0,
26081253,Habitación Amplia Cerca de la Sagrada Familia,83729645,Mariajose,Sant Martí,el Camp de l'Arpa del Clot,41.41229,2.17756,Private room,47,3,0,,,2,8,0,Exempt
26096253,Your summer room filled with sunlight in Barcelona,15832944,Elena Victoria,Sants-Montjuïc,el Poble Sec,41.37342,2.15924,Private room,32,2,23,2022-02-28,0.51,1,35,9,Exempt
26096939,Bright and Open Apartment in Barcelona,26435442,Iris,Les Corts,les Corts,41.3862,2.13699,Private room,106,4,2,2019-08-11,0.06,1,0,0,Exempt
