id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
4666689,Great luxury in the habour channel,24144954,Camilla,,Vesterbro-Kongens Enghave,55.64652,12.5542,Entire home/apt,2000,3,72,2021-08-22,0.85,1,122,6,
4681402,Suite in central Copenhagen almost a gallery,17460171,Amanda,,Vesterbro-Kongens Enghave,55.66725,12.54949,Entire home/apt,821,2,39,2021-10-04,0.44,1,1,3,
4684691,Flat/lejlighed på trendy Nørrebro,24223250,Peter,,Nrrebro,55.69779,12.54081,Entire home/apt,445,4,103,2022-02-21,1.24,1,157,15,
4686253,Central stylish family apartment,3242009,Rebecca,,sterbro,55.69764,12.58118,Entire home/apt,1200,4,15,2021-08-04,0.18,1,0,2,
4686459,Between airport and city centre,11621646,Anders,,Amager Vest,55.66357,12.59902,Entire home/apt,893,3,174,2021-10-18,2.07,1,276,7,
4690553,Bright room in Sydhavnen,24250951,Simone,,Vesterbro-Kongens Enghave,55.64969,12.53664,Private room,1339,1,3,2016-07-25,0.04,1,0,0,
4697213,Charming apartment in Copenhagen,968095,Mike,,Frederiksberg,55.68506,12.53199,Entire home/apt,650,4,0,,,1,74,0,
4698517,Lovely room on Christianshavn,24288851,Charlotte,,Indre By,55.67094,12.59289,Private room,470,4,246,2021-07-08,2.82,1,77,1,
4699077,Charming apt. with two balconies,24291366,Mathias,,Indre By,55.67578,12.59583,Entire home/apt,799,20,7,2016-07-31,0.08,1,2,0,
4703587,Unique villa in central Copenhagen,7482683,Simon,,Frederiksberg,55.66839,12.5163,Entire home/apt,1800,4,11,2021-07-27,0.13,1,96,1,
4705179,Central and charming apartment.,24321610,Jonas,,Valby,55.65379,12.51352,Entire home/apt,850,4,73,2022-03-14,0.86,1,114,5,
4713243,BIG STUDIO APARTMENT IN THE HEART OF COPENHAGEN,24355451,Liv,,Indre By,55.68271,12.58265,Entire home/apt,2200,14,3,2016-10-10,0.04,1,364,0,
4716241,Bright &spacious flat in Copenhagen w. Balcony,2877868,Helene,,Nrrebro,55.70275,12.54787,Entire home/apt,749,4,80,2022-02-16,1.00,1,0,5,
4718721,136 sqm in the heart of Copenhagen,24376263,Claus,,Amager Vest,55.66563,12.58148,Entire home/apt,1961,2,55,2022-03-06,0.62,1,110,8,
4723947,Lovely townhouse w. garden close to metro and city,3892634,Mark,,Amager Vest,55.64381,12.59492,Entire home/apt,1090,4,17,2021-07-29,0.25,1,11,1,
4733983,Great apartment in Vesterbro,2255199,Francesca,,Frederiksberg,55.67308,12.54375,Entire home/apt,818,5,7,2018-06-17,0.08,1,175,0,
4737250,Amazing flat in the heart of Vesterbro,24453153,Camilla,,Vesterbro-Kongens Enghave,55.67032,12.55793,Entire home/apt,1100,3,5,2019-07-19,0.06,2,173,0,
4741118,Bright colourful flat in great area,24370907,Morten,,Nrrebro,55.69596,12.54552,Entire home/apt,799,3,83,2022-03-23,0.94,1,302,10,
4747071,Charming and cosy in the center,24500844,Henriette,,Indre By,55.68215,12.57911,Entire home/apt,1200,89,7,2018-06-21,0.08,1,331,0,
4748841,Loft apartment with rooftop terrace,24508321,Nina,,Vesterbro-Kongens Enghave,55.66705,12.55287,Entire home/apt,2000,3,5,2020-07-25,0.07,1,19,0,
4755853,"Wonderful penthouse next to Nyboder, 4 room",24541666,Mine,,Indre By,55.69093,12.5836,Entire home/apt,1100,14,7,2021-08-14,0.09,1,290,1,
4763333,Spacious two floor appartement in Nørrebro,1350321,Anniken,,Nrrebro,55.69027,12.54329,Entire home/apt,1300,2,61,2022-03-13,0.69,1,16,3,
4763606,Is placed in the center of the town,24577979,Lissi,,Indre By,55.67904,12.58298,Entire home/apt,700,3,27,2020-01-09,0.32,1,91,0,
4775122,Cosy flat close to downtown at Nørrebro area,24627850,Julia,,Nrrebro,55.69378,12.54289,Entire home/apt,620,3,42,2019-07-26,0.57,1,1,0,
4790331,"Cosy, big room, 15mins from center",10004297,Thanos,,Valby,55.67102,12.48973,Private room,669,7,1,2015-01-03,0.01,1,365,0,
4790980,110 m2 luxery flat. Newly renovated,24693785,Helle,,sterbro,55.71058,12.5845,Entire home/apt,1800,3,4,2017-12-02,0.07,1,0,0,
4798431,Absolute Unique & Cozy - 100m2.-Central Copenhagen,24724912,Marianne,,Nrrebro,55.68852,12.55611,Entire home/apt,950,3,29,2022-03-12,0.43,1,68,4,
